component,jtl_article_number
M378B5173EB0-CK0 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
M378B5173EB0-YK0 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
M378B5173QH0-CK0 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
M378B5273CH0-CK0 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
M378B5273DH0-CK0 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
M378B5773CH0-CK0 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-2GB,RAM-2GB-DDR3
M425R1GB4BB0-CWMOD - SODIMM Synchronous 5600 MHz (0.2 ns)-8GB,RAM-8GB-DDR5-SODIMM
M471A1G43DB0-CPB - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4-SODIMM
M471A1G44CB0-CWE - SODIMM DDR4 Synchronous 2933 MHz (0.3 ns)-8GB,RAM-16GB-DDR4-SODIMM
M471A1G44CB0-CWE - SODIMM DDR4 Synchronous 3200 MHz (0.3 ns)-8GB,RAM-8GB-DDR4-SODIMM
M471A1G44CB0-CWE - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
M471A1G44CB0-CWE - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-8GB,RAM-8GB-DDR4-SODIMM
M471A1K43BB0-CPB - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4-SODIMM
M471A1K43BB1-CRC - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
M471A1K43CB1-CRC - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
M471A1K43CB1-CTD - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
M471A1K43DB1-CTD - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
M471A5143EB0-CPB - SODIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,RAM-4GB-DDR4-SODIMM
M471A5244BB0-CRC - SODIMM DDR4 Synchronous 2400 MHz (0.4 ns)-4GB,RAM-4GB-DDR4-SODIMM
M471A5244CB0-CRC - SODIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,RAM-4GB-DDR4-SODIMM
M471A5244CB0-CRC - SODIMM DDR4 Synchronous 2400 MHz (0.4 ns)-4GB,RAM-4GB-DDR4-SODIMM
M471A5244CB0-CTD - SODIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,RAM-4GB-DDR4-SODIMM
M471A5244CB0-CTD - SODIMM DDR4 Synchronous 2400 MHz (0.4 ns)-4GB,RAM-4GB-DDR4-SODIMM
M471B1G73DB0-YK0 - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
M471B1G73EB0-YK0 - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
M471B1G73QH0-YK0 - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-4GB-DDR4-SODIMM
M471B1G73QHO-YK0 - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-4GB-DDR4-SODIMM
M4U16S682QMMM52-12 - DIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
M4U16S682QMMM52-12 - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
M4U16S682QMMM52-12 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
M73AMZ_16_512,PC-M73
M83Tiny-16-1T-i7_W,PC-M83-Tiny-i7
M83Tiny-16-512_W,PC-M83-Tiny-i5
M900-16-512,PC-M900-i5
M900-32-1T-i7,PC-M900-i7
M910-16-512,PC-M900-i5
M910-32-1T-i7,PC-M900-i7
M93AMZ_16_512,PC-M73
M93AMZ_16_512_W,PC-M73
M93AMZ_32_1T_i7,PC-M93
M93AMZ_32_1T_i7_W,PC-M93
MAG Z790 TOMAHAWK MAX WIFI (MS-7E25),MAB-Z790-TOMAHAWK
MATSHITA MATSHITA DVD-RAM SW820-HDD-sata-1GB,DVD-Brenner
MATSHITA MATSHITA DVD-RAM SW830-HDD-sata-1GB,DVD-Brenner
MATSHITA MATSHITA DVD-RAM SW840-HDD-sata-1GB,DVD-Brenner
MD16GSD42666-SI - DIMM DDR4 Synchronous 2667 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
MK2AMD_4060,PC-MK2-AMD
MK2BasicAMD,PC-MK2-Basic-AMD
MK2BasicIntel,PC-MK2-Basic-Intel
MK2Intel_4060,PC-MK2-Intel
MK2Intel_4060-12,PC-MK2-Intel
MK2Intel_4060-13,PC-MK2-Intel
MK2PowerAMD,PC-MK2-Power-AMD
MK2PowerIntel-12,PC-MK2-Power-Intel
MK2ProAMD,PC-MK2-Pro-AMD
MK2ProIntel-12,PC-MK2-Pro-Intel
MK2ProIntel-12-D5,PC-MK2-Pro-Intel
MS-15K1,Nicht im WAWI
MS-B0A81,Nicht im WAWI
MSI M450 1TB-SSD-nvme-1000GB,SSD-M2-1TB
MSI M480 PRO 2TB-SSD-nvme-2000GB,SSD-M2-2TB
MSI_1000W,NET-1000W-MSI
MSI_Cubi_5-16-256_W,JTL_ARTNR_PC_MSI_Cubi_5-16-256
MSI_Cubi_5-16-512_W,JTL_ARTNR_PC_MSI_Cubi_5-16-512
MSI_Cyborg_15-16-1T_W,PC-MSI_Cyborg_15-16-1T_W
MSI_GAMING_BLACK,GEH-MSI-Midi-MAG-Velox
MSI_MAG_A750L,NET-750W-MSI
MSI_VELOX_100,GEH-Velox-100R
MT62F1G32D4DR-031 WT - Row of chips Synchronous Unbuffered (Unregistered) 5500 MHz (0.2 ns)-4GB,Nicht im WAWI
MT62F2G32D8DR-031 WT - Row of chips Synchronous Unbuffered (Unregistered) 5500 MHz (0.2 ns)-8GB,Nicht im WAWI
Multi,PC-Multi
Multi7,PC-Multi_7
MultiV2AMD,PC-Multi-V2-AMD
MultiV2Intel,PC-Multi-V2-Intel
MultiV2Intel-GT730,PC-Multi-V2-Intel
MultiV2Intel-GT730-i9,PC-Multi-V2-Intel
MultiV2Intel_W,PC-Multi-V2-Intel
Nano_AMD,PC-Nano-AMD
Nano_Intel,PC-Nano-Intel
Nano_Plus_AMD,PC-Nano-Plus-AMD
Nano_Plus_Intel,PC-Nano-Plus-Intel
Nano_Pro_AMD,PC-Nano-Pro-AMD
Nano_Pro_Intel,PC-Nano-Pro-Intel
NMSO416E82-3200E - SODIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4-SODIMM
NON_CUSTOM_PSU,Nicht im WAWI
NO_STICKER,Nicht im WAWI
NT4GC64B88B1NF-DI - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
NVIDIA GeForce GT 710,GRA-GT710
NVIDIA GeForce GT 730,GRA-GT730
NVIDIA GeForce RTX 3050,GRA-RTX3050
NVIDIA GeForce RTX 3060,GRA-RTX3060
NVIDIA GeForce RTX 4060,GRA-RTX4060
NVIDIA GeForce RTX 4060 Mobile,Nicht im WAWI
NVIDIA GeForce RTX 4060 Ti,GRA-RTX4060TI
NVIDIA GeForce RTX 4060 Ti + AMD Integrated,GRA-RTX4060TI
NVIDIA GeForce RTX 4070,GRA-RTX4070
NVIDIA GeForce RTX 5070 Ti,GRA-RTX-5070TI
NVIDIA GeForce RTX 5080,GRA-RTX5080
Optiarc Optiarc DVD RW AD-5260S-HDD-sata-1GB,DVD-Brenner
Optiarc Optiarc DVD RW AD-5280S-HDD-ata-1GB,DVD-Brenner
Optiarc Optiarc DVD RW AD-7250H-HDD-ata-1GB,DVD-Brenner
Optiarc Optiarc DVD RW AD-7250H-HDD-sata-1GB,DVD-Brenner
Optiarc Optiarc DVD RW AD-7260S-HDD-sata-1GB,DVD-Brenner
Optiarc Optiarc DVD RW AD-7290H-HDD-sata-1GB,DVD-Brenner
PBM_5080_Intel_MM ,PC-PBM_5080_Intel_MM 
PC_3060_i9_2T_1THDD_W,Nicht im WAWI
PLDS PLDS DVD+/-RW DH-16AES-HDD-sata-1GB,DVD-Brenner
PLDS PLDS DVD-RW DA8AESH-HDD-sata-1GB,Nicht im WAWI
PLDS PLDS DVD-RW DH16ACSH-HDD-sata-1GB,DVD-Brenner
PLDS PLDS DVD-RW DH16AESH-HDD-ata-1GB,DVD-Brenner
PLDS PLDS DVD-RW DH16AESH-HDD-sata-1GB,DVD-Brenner
PLDS PLDS DVD-RW DH16AFSH-HDD-sata-1GB,DVD-Brenner
PLDS PLDS DVD-RW DU8A6SH-HDD-sata-1GB,Nicht im WAWI
PLDS PLDS DVD-RW DU8AESH-HDD-sata-1GB,DVD-Brenner
PRO H610M-E DDR4 (MS-7D48),MAB-H610M
PRO H610M-G DDR4 (MS-7D46),MAB-H610M
PSU_FUJITSU,Nicht im WAWI
PSU_GAMING_700W,NET-750W-Gaming
PSU_GAMING_MSI_1000W,NET-1000W
PSU_GAMING_MSI_900W,JTL_ARTNR_PSU_GAMING_MSI_900W
PSU_OFFICE_500W,NET-500W-Office
PSU_OTHER,JTL_ARTNR_PSU_OTHER
Q556AMZ_8_512_W,PC-Q556
RMR5030EF68F9W1600 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
RMR5030KD68F9F1600 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
RMR5030KE68F9F1600 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
RMR5030ME68F9F1600 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
RMR5030MN68F9F1600 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
RMR5040ED58E9W1600 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
RMR5040ME68FAF1600 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
RMSA3260ME78HAF-2666 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
RMSA3260NA78HAF-2400 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-16GB-DDR4-SODIMM
RMUA5110ME78HAF-2666 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
RMUA5110MH78HAF-2666 - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
RMUA5110MH78HAF-2666 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
RMUA5120MB86H9F2400 - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,RAM-4GB-DDR4
S939A2SGS-ITR - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
S940-8-128,PC-S940
SAMSUNG MZVKW1T0HMLH-00000-SSD-nvme-1024GB,SSD-M2-1TB
SAMSUNG MZVLB256HAHQ-000L7-SSD-nvme-256GB,SSD-M2-256GB
SAMSUNG MZVLW256HEHP-000H1-SSD-nvme-256GB,SSD-M2-256GB
SAMSUNG MZVLW256HEHP-000L7-SSD-nvme-256GB,SSD-M2-256GB
SATA Kabel,KAB-SATA
SHARKBAY,Nicht im WAWI
SK hynix BC711 HFM256GD3JX013N-SSD-nvme-256GB,SSD-M2-256GB
SK hynix BC901 HFS512GEJ9X108N-SSD-nvme-512GB,SSD-512GB-M2
SKHynix_HFS256GEJ4X112N-SSD-nvme-256GB,SSD-M2-256GB
SKHynix_HFS512GEJ4X112N-SSD-nvme-512GB,SSD-512GB-M2
SKYBAY,Nicht im WAWI
SMI 2263XT-SSD-nvme-512GB,SSD-512GB-M2
SOLIDIGM SSDPFKNU512GZ-SSD-nvme-512GB,SSD-512GB-M2
SOLIDIGM SSDPFKNU512GZH-SSD-nvme-512GB,SSD-512GB-M2
SSD FEHLT,Nicht im WAWI
SSD_M.2_PCIe3_1TB_InnovationIT-SSD-nvme-1024GB,SSD-M2-1TB
SSD_M.2_PCIe3_512GB_InnovationIT-SSD-nvme-512GB,SSD-512GB-M2
SSD_M.2_PCIe4_1TB_InnovationIT-SSD-nvme-1024GB,SSD-M2-1TB
STICKER_GREED_BLAU,STI-Blau
STICKER_GREED_GRAU,STI-Grau
STICKER_GREED_ORANGE,STI-Orange
STICKER_GREED_ROT,STI-Rot
STICKER_HYPERBYTE_GRAU,STI-HyperByte-Grau
STICKER_NANO_BLAU,JTL_ARTNR_STICKER_NANO_BLAU
STICKER_NANO_ROT,JTL_ARTNR_STICKER_NANO_ROT
STICKER_PBMxGREED,JTL_ARTNR_STICKER_PBMxGREED
STICKER_PBM_GREED,STI-Schwarz
STORM-R5_96X_32_5080_W,JTL_ARTNR_PC_STORM-R5_96X_32_5080_W
SUNEAST NVMe SSD 512GB-SSD-nvme-512GB,SSD-512GB-M2
TEAC TEAC DV-W5600S-HDD-sata-1GB,DVD-Brenner
TEAM TM8FPD001T-SSD-nvme-1024GB,SSD-M2-1TB
TEAMGROUP-SD4-3200 - SODIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4-SODIMM
TEAMGROUP-UD4-3200 - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
TEAMGROUP-UD4-3200 - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-32GB,RAM-32GB-DDR4
TEAMGROUP-UD4-3200 - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-8GB,RAM-16GB-DDR4
TEAMGROUP-UD4-3200 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
TSSTcorp TSSTcorp CDDVDW SH-216BB-HDD-sata-1GB,DVD-Brenner
TSSTcorp TSSTcorp CDDVDW SH-216DB-HDD-sata-1GB,DVD-Brenner
TSSTcorp TSSTcorp CDDVDW SH-216FB-HDD-sata-1GB,DVD-Brenner
TSSTcorp TSSTcorp CDDVDW SH-222AB-HDD-sata-1GB,DVD-Brenner
TSSTcorp TSSTcorp CDDVDW SH-222BB-HDD-sata-1GB,DVD-Brenner
TSSTcorp TSSTcorp CDDVDW SH-224BB-HDD-ata-1GB,DVD-Brenner
TSSTcorp TSSTcorp CDDVDW SH-224BB-HDD-sata-1GB,DVD-Brenner
TSSTcorp TSSTcorp CDDVDW SH-224DB-HDD-sata-1GB,DVD-Brenner
TSSTcorp TSSTcorp CDDVDW SH-224FB-HDD-sata-1GB,DVD-Brenner
TSSTcorp TSSTcorp CDDVDW SH-224GB-HDD-sata-1GB,DVD-Brenner
TSSTcorp TSSTcorp DVD-ROM SH-116BB-HDD-ata-1GB,DVD-Brenner
TSSTcorp TSSTcorp DVD-ROM SH-116BB-HDD-sata-1GB,DVD-Brenner
TSSTcorp TSSTcorp DVD-ROM SH-116CB-HDD-sata-1GB,DVD-Brenner
TSSTcorp TSSTcorp DVD-ROM SH-118BB-HDD-ata-1GB,DVD-Brenner
TSSTcorp TSSTcorp DVD-RW SH-216AB-HDD-sata-1GB,DVD-Brenner
TSSTcorp TSSTcorp DVD-RW SH-216DB-HDD-sata-1GB,DVD-Brenner
TSSTcorp TSSTcorp DVD-RW SH-216FB-HDD-sata-1GB,DVD-Brenner
TSSTcorp TSSTcorpCD/DVDW TS-H653L-HDD-ata-1GB,DVD-Brenner
TSSTcorp TSSTcorpDVD-ROM SH-116AB-HDD-sata-1GB,DVD-Brenner
TSSTcorp TSSTcorpDVD-ROM TS-H353C-HDD-sata-1GB,DVD-Brenner
Ultra,PC-Ultra
Ultra7,PC-Ultra-7
UltraV2AMD,PC-Ultra-V2-AMD
UltraV2AMD_W,PC-Ultra-V2-AMD
UltraV2Intel,PC-Ultra-V2-Intel
UltraV2Intel-ALT,PC-Ultra-V2-Intel
UltraV2Intel-GT730,PC-Ultra-V2-Intel
UltraV2Intel-GT730-10,PC-Ultra-V2-Intel
UltraV2Intel-GT730-10F,PC-Ultra-V2-Intel
UltraV2Intel-GT730-11,PC-Ultra-V2-Intel
UltraV2Intel-GT730-12,PC-Ultra-V2-Intel
V01L3LF8GB52852816 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
V15_G2_Basic_W,PC-V15-Basic
V15_G2_Multi_W,PC-V15-Multi
V15_G2_Ultra_W,PC-V15-Ultra
VC17 240717 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
W642GU44J2320NN - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
W644GU44J2320NH - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-32GB,RAM-32GB-DDR4
W644GU44J2320NH - DIMM DDR4 Synchronous 2933 MHz (0.3 ns)-32GB,RAM-32GB-DDR4
W644GU44J2320NH - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-32GB,RAM-32GB-DDR4
W644GU44J2320NH - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-32GB,RAM-32GB-DDR4
W644GU44J2320NH - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-32GB,RAM-32GB-DDR4
WD PC SN740 SDDPMQD-256G-1101-SSD-nvme-256GB,SSD-M2-256GB
WD PC SN740 SDDPMQD-512G-1101-SSD-nvme-512GB,SSD-512GB-M2
WD PC SN740 SDDPNQD-512G-1002-SSD-nvme-512GB,SSD-512GB-M2
WLAN,Nicht im WAWI
WLAN Modul intern,Nicht im WAWI
WPK,LIZ-Windows-11-Pro
X300M-STX,PCL-Nano-AMD
[Empty] - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
