component,jtl_article_number
9905702-431.A00G - DIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
9905702-431.A00G - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
9905702-431.A00G - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
9905743-150.A00G - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-16GB,RAM-16GB-DDR4
9905743-150.A00G - DIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
9905743-150.A00G - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
9905743-150.A00G - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
9905743-150.A00G - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
9905743-220.A00G - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-16GB,RAM-16GB-DDR4
9905743-220.A00G - DIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
9905743-220.A00G - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
9905743-220.A00G - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
9905743-220.A00G - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
99U5403-160.A00LF - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
99U5428-018.A00LF - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
99U5471-012.A00LF - DIMM DDR3 Synchronous 1333 MHz (0.8 ns)-4GB,RAM-4GB-DDR3
99U5471-020.A00LF - DIMM DDR3 Synchronous 1333 MHz (0.8 ns)-4GB,RAM-4GB-DDR3
99U5471-040.A00LF - DIMM DDR3 Synchronous 1333 MHz (0.8 ns)-8GB,RAM-8GB-DDR3
99U5471-052.A00LF - DIMM DDR3 Synchronous 1333 MHz (0.8 ns)-8GB,RAM-8GB-DDR3
99U5471-054.A00LF - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
99U5471-056.A00LF - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
99U5471-057.A00LF - DIMM DDR3 Synchronous 1333 MHz (0.8 ns)-8GB,RAM-8GB-DDR3
99U5471-058.A00LF - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
99U5471-060.A00LF - DIMM DDR3 Synchronous 1333 MHz (0.8 ns)-8GB,RAM-8GB-DDR3
99U5471-062.A00LF - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
99U5471-065.A00LF - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
A520M-A PRO (MS-7C96),MAB-A520M
ACR16D3LU1MNG/8G - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
ACR24D4S7S8MB-8 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
ACR26D4U9S8ME-8 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
AGI1T0GIMAI298-SSD-nvme-1024GB,SSD-M2-1TB
AGI320016UD138 - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
AGI512GIMAI298-SSD-nvme-512GB,SSD-512GB-M2
AMD Integrated,Nicht im WAWI
AMD Ryzen 5 4600G with Radeon Graphics,CPU-R5-4600G
AMD Ryzen 5 5600G with Radeon Graphics,CPU-R5-5600G
AMD Ryzen 5 7520U with Radeon Graphics,Nicht im WAWI
AMD Ryzen 5 9600X 6-Core Processor,CPU-R5-9600X
AMD Ryzen 5 PRO 4655G with Radeon Graphics,CPU-4655G
AMD Ryzen 7 5700G with Radeon Graphics,CPU-R7-5700G
AMD Ryzen 7 5700X 8-Core Processor,CPU-R7-5700X
AMD Ryzen 7 7800X3D 8-Core Processor,CPU-R7-7800X3D
AO1P26KC8T1-BXPS - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
ASU16D3LU1KBG/8G - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
ASUS ASUS DRW-24F1ST a-HDD-sata-1GB,DVD-Brenner
ASUS DRW-24D5MT-HDD-sata-1GB,DVD-Brenner
ASUS DRW-24F1ST d-HDD-sata-1GB,DVD-Brenner
ATA 1TB SATA 2.5 SSD-SSD-sata-1024GB,SSD-1TB-2-5
ATA 2-Power SSD2042B 256GB-SSD-sata-256GB,SSD-240GB-2-5
ATA 512GB SATA 2.5 SSD-SSD-ata-512GB,SSD-512GB-2-5
ATA 512GB SATA 2.5 SSD-SSD-sata-512GB,SSD-512GB-2-5
ATA 512GB SATA SSD-SSD-sata-512GB,SSD-512GB-2-5
ATA 512GB-SSD-sata-512GB,SSD-512GB-2-5
ATA AGI1K0GIMAI238-SSD-ata-1024GB,SSD-1TB-2-5
ATA AGI1K0GIMAI238-SSD-sata-1024GB,SSD-1TB-2-5
ATA Apacer AS340 240GB-SSD-sata-240GB,SSD-240GB-2-5
ATA CT1000BX500SSD1-SSD-ata-1000GB,SSD-1TB-2-5
ATA CT1000BX500SSD1-SSD-sata-1000GB,SSD-1TB-2-5
ATA CT1000MX500SSD1-SSD-sata-1000GB,SSD-1TB-2-5
ATA CT500BX500SSD1-SSD-sata-500GB,SSD-512GB-2-5
ATA CTSSD512S6-SSD-sata-512GB,SSD-512GB-2-5
ATA EMTEC X150 240GB-SSD-sata-240GB,SSD-240GB-2-5
ATA ESSENCORE SATA SSD-SSD-ata-256GB,SSD-240GB-2-5
ATA ESSENCORE SATA SSD-SSD-sata-256GB,SSD-240GB-2-5
ATA GB1000EAFJL-HDD-sata-1000GB,HDD-1TB-3-5
ATA Go-Infinity-SSD-ata-256GB,SSD-240GB-2-5
ATA Go-Infinity-SSD-sata-256GB,SSD-240GB-2-5
ATA Go-Infinity-SSD-sata-512GB,SSD-512GB-2-5
ATA KINGSTON SA400S37960G-SSD-ata-960GB,SSD-1TB-2-5
ATA KINGSTON SA400S37960G-SSD-sata-960GB,SSD-1TB-2-5
ATA LITEON CV3-8D128-11 SATA 128GB-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
ATA LITEON CV8-8E128-11 SATA 128GB-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
ATA MicroFrom 1TB SATA3 SSD-SSD-sata-1024GB,SSD-1TB-2-5
ATA MicroFrom 256GB SATA3 SSD-SSD-sata-256GB,SSD-240GB-2-5
ATA MicroFrom 512GB SATA3 SSD-SSD-ata-512GB,SSD-512GB-2-5
ATA MicroFrom 512GB SATA3 SSD-SSD-sata-512GB,SSD-512GB-2-5
ATA Micron_1100_MTFDDAK512TBN-SSD-sata-512GB,SSD-512GB-2-5
ATA MKNSSDEL1TB-SSD-sata-1000GB,SSD-1TB-2-5
ATA SAMSUNG MZ7LN256HCHP-000L7-SSD-sata-256GB,SSD-240GB-2-5
ATA SAMSUNG MZNLN128HAHQ-00000-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
ATA SAMSUNG MZNLN128HAHQ-000H1-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
ATA SAMSUNG MZNLN128HCGR-00000-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
ATA SAMSUNG MZNTY128HDHP-00000-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
ATA SAMSUNG SSD PM871 M.2 2280 256GB SED-SSD-sata-256GB,JTL_ARTNR_M2SATA_SSD_256GB
ATA SAMSUNG SSD PM871b M.2 2280 128GB-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
ATA SanDisk SD8SN8U-128G-1006-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
ATA SanDisk SD8SN8U-128G-1016-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
ATA SanDisk SD9SN8W-128G-1006-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
ATA SanDisk X400 M.2 2280 128GB-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
ATA SanDisk X600 M.2 2280 SATA 128GB-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
ATA SE801 1TB-SSD-sata-1024GB,SSD-1TB-2-5
ATA SK hynix SC300 M.2 2280 256GB-SSD-sata-256GB,JTL_ARTNR_M2SATA_SSD_256GB
ATA SK hynix SC311 SATA 128GB-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
ATA SSD 1TB-SSD-sata-1024GB,SSD-1TB-2-5
ATA SSD 256G-SSD-sata-256GB,SSD-240GB-2-5
ATA SSD 256GB-SSD-sata-256GB,SSD-240GB-2-5
ATA SSD 512-SSD-sata-512GB,SSD-512GB-2-5
ATA SSD 512G-SSD-sata-512GB,SSD-512GB-2-5
ATA SSD 512GB-SSD-sata-512GB,SSD-512GB-2-5
"ATA SSD_2.5""_1TB_InnovationIT_QLC-SSD-sata-1024GB",SSD-1TB-2-5
"ATA SSD_2.5""_256GB_InnovationIT_QLC-SSD-sata-256GB",SSD-240GB-2-5
"ATA SSD_2.5""_512GB_InnovationIT_QLC-SSD-ata-512GB",SSD-512GB-2-5
"ATA SSD_2.5""_512GB_InnovationIT_QLC-SSD-sata-512GB",SSD-512GB-2-5
"ATA SSD_2.5""_TLC_1TB_InnovationIT-SSD-sata-1024GB",SSD-1TB-2-5
"ATA SSD_2.5""_TLC_1TB_InnovationIT_MAS-SSD-sata-1024GB",SSD-1TB-2-5
"ATA SSD_2.5""_TLC_240GB_InnovationIT-SSD-sata-240GB",SSD-240GB-2-5
"ATA SSD_2.5""_TLC_512GB_InnovationIT-SSD-sata-512GB",SSD-512GB-2-5
"ATA SSD_2.5""_TLC_512GB_InnovationIT_MAS-SSD-sata-512GB",SSD-512GB-2-5
ATA SSD_M.2_1TB_InnovationIT_QLC-SSD-sata-1024GB,SSD-1TB-2-5
ATA SSD_M.2_256GB_InnovationIT-SSD-sata-256GB,JTL_ARTNR_M2SATA_SSD_256GB
ATA ST1000DM003-1ER162-HDD-sata-1000GB,HDD-1TB-3-5
ATA ST1000DM010-2EP102-HDD-sata-1000GB,HDD-1TB-3-5
ATA TEAM T253512GB-SSD-ata-512GB,SSD-512GB-2-5
ATA TEAM T253512GB-SSD-sata-512GB,SSD-512GB-2-5
ATA TOSHIBA HDWD110-HDD-sata-1000GB,HDD-1TB-3-5
ATA TOSHIBA THNSNK128GVN8 M.2 2280 128GB-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
ATA TOSHIBA THNSNK128GVN8-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
ATA TOSHIBA THNSNK256GVN8 M.2 2280 256GB-SSD-sata-256GB,JTL_ARTNR_M2SATA_SSD_256GB
ATA Valuetech Pro 512GB-SSD-sata-500GB,SSD-512GB-2-5
ATA Verbatim Vi550 S3-SSD-ata-1024GB,SSD-1TB-2-5
ATA Verbatim Vi550 S3-SSD-sata-1024GB,SSD-1TB-2-5
ATA VTP1024GSSD1-SSD-sata-1024GB,SSD-1TB-2-5
ATA WD Blue SA510 2.5 1000GB-SSD-ata-1000GB,SSD-1TB-2-5
ATA WD Blue SA510 2.5 1000GB-SSD-sata-1000GB,SSD-1TB-2-5
ATA WDC WD10EURX-63UY4Y0-HDD-ata-1000GB,HDD-1TB-3-5
ATA WDC WD10EURX-63UY4Y0-HDD-sata-1000GB,HDD-1TB-3-5
ATA WDC WD10EURX-83UY4Y0-HDD-ata-1000GB,HDD-1TB-3-5
ATA WDC WD10EURX-83UY4Y0-HDD-sata-1000GB,HDD-1TB-3-5
ATAPI ATAPI DVD A DH16ABSH-HDD-sata-1GB,DVD-Brenner
ATAPI ATAPI DVD A DH16AFSH-HDD-sata-1GB,DVD-Brenner
ATAPI ATAPI DVD A DH20A6S-HDD-sata-1GB,DVD-Brenner
ATAPI ATAPI iHAS120 D-HDD-sata-1GB,DVD-Brenner
ATAPI ATAPI iHAS124 B-HDD-sata-1GB,DVD-Brenner
ATAPI ATAPI iHAS124 C-HDD-sata-1GB,DVD-Brenner
ATAPI ATAPI iHAS124 E-HDD-sata-1GB,DVD-Brenner
ATAPI ATAPI iHAS124 F-HDD-ata-1GB,DVD-Brenner
ATAPI ATAPI iHAS124 F-HDD-sata-1GB,DVD-Brenner
B450M-A PRO MAX II (MS-7C52),MAB-B450-AMD
B450M-HDV R4.0,MAB-B450-AMD
B650 GAMING PLUS WIFI (MS-7E26),MAB-B650-Gaming-Plus-WIFI
B650M GAMING PLUS WIFI (MS-7E24),JTL_ARTNR_MB_B650M GAMING PLUS WIFI
B760 GAMING PLUS WIFI (MS-7D98),MAB-B760-Gaming-Plus-WIFI
Basic,PC-Basic
Basic7,PC-Basic-7
BasicV2AMD,PC-Basic-V2-AMD
BasicV2Intel,PC-Basic-V2-Intel
CASE_GAMING_GREED,GEH-LC-703B-ON
CASE_MSI_GAMING,JTL_ARTNR_CASE_MSI_GAMING
CASE_MSI_PZ_WHITE,GEH-MSI-Midi-MAG-Pano-White
CASE_NON_CUSTOM,Nicht im WAWI
CASE_OFFICE_GREED,GEH-LC-7038B-ON
CASE_OFFICE_HB,JTL_ARTNR_CASE_OFFICE_HB
CMV8GX3M1A1600C11 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
COOLER_AM4,JTL_ARTNR_COOLER_AM4
COOLER_LGA_15XX_1200,JTL_ARTNR_COOLER_LGA_15XX_1200
COOLER_LGA_1700,JTL_ARTNR_COOLER_LGA_1700
COOLER_LIQUID_240,JTL_ARTNR_COOLER_LIQUID_240
COOLER_NANO_INTEL_1200,JTL_ARTNR_COOLER_NANO_INTEL_1200
COOLER_ORIGINAL,Nicht im WAWI
CT1000P3SSD8-SSD-nvme-1000GB,SSD-M2-1TB
CT102464BA160B.C16 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
CT102464BA160B.M16 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
CT102464BD160B.C16 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
CT102464BD160B.M16 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
CT16G4DFD824A.C16FR - DIMM DDR4 Synchronous 2400 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
CT16G4DFD824A.C16FR - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
CT16G4DFD824A.C16FT - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-16GB,RAM-16GB-DDR4
CT16G4DFD824A.C16FT - DIMM DDR4 Synchronous 2400 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
CT16G4DFD824A.C16FT - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
CT16G4DFRA32A.C16FR - DIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
CT16G4DFRA32A.C16FT - DIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
CT16G4DFRA32A.C16FT - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
CT16G4DFRA32A.C8FF - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
CT16G4DFRA32A.C8FF - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
CT16G4DFRA32A.M16FE - DIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
CT16G4DFRA32A.M16FE - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
CT16G4DFRA32A.M16FE - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
CT16G4DFRA32A.M8FF - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-16GB,RAM-16GB-DDR4
