component,jtl_article_number
8ATF1G64HZ-2G6D1 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
ATA SAMSUNG SSD PM871 M.2 2280 256GB SED-SSD-sata-256GB,SSD-256GB-M2
AMD Ryzen 7 7800X3D 8-Core Processor,CPU-R7-7800X3D
KF556C40-32 - DIMM Synchronous Unbuffered (Unregistered) 4800 MHz (0.2 ns)-32GB,RAM-32GB-DDR5
INNO135978 - DIMM DDR4 Synchronous 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
INNO135977 - DIMM DDR4 Synchronous 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
4ATF51264AZ-2G3E1 - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,RAM-4GB-DDR4
VC17 240717 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
Intel(R) Core(TM) i7-10700F CPU @ 2.90GHz,CPU-i7-10700F
NVIDIA GeForce RTX 3050,GRA-RTX3050
8ATF1G64AZ-2G6E1 - DIMM DDR4 Synchronous 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
16ATF1G64HZ-2G1A2 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4-SODIMM
CT8G4DFRA32A.C8FT - DIMM DDR4 Synchronous 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
SK hynix BC901 HFS512GEJ9X108N-SSD-nvme-512GB,SSD-512GB-M2
HMA41GS6AFR8N-TF - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4-SODIMM
H610M K DDR4,MAB-H610M
 - DIMM DDR4 Synchronous 2667 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
CT16G4DFD824A.C16FT - DIMM DDR4 Synchronous 2400 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
CT16G4DFD824A.C16FR - DIMM DDR4 Synchronous 2400 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
Intel(R) Core(TM) i5-10400F CPU @ 2.90GHz,CPU-i5-10400F
INNO124205 - DIMM DDR4 Synchronous 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
SSD_M.2_PCIe4_1TB_InnovationIT-SSD-nvme-1024GB,SSD-M2-1TB
HP26D4S9S8ME-8 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
Intel ARC A380,GRA-ARC380-6GB
AGI320016UD138 - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
9905702-431.A00G - DIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,CPU-i5-7500
Nano_Intel,PC-Nano-Intel
Nano_AMD,PC-Nano-AMD
Nano_Plus_Intel,PC-Nano-Plus-Intel
Nano_Plus_AMD,PC-Nano-Plus-AMD
MultiV2Intel,PC-Multi-V2-Intel
MultiV2AMD,PC-Multi-V2-AMD
UltraV2Intel-GT730-10,PC-Ultra-V2-Intel
UltraV2Intel-GT730-11,PC-Ultra-V2-Intel
WD PC SN740 SDDPNQD-512G-1002-SSD-nvme-512GB,SSD-512GB-M2
99U5471-040.A00LF - DIMM DDR3 Synchronous 1333 MHz (0.8 ns)-8GB,RAM-8GB-DDR3
9905471-061.A00LF - DIMM DDR3 Synchronous 1333 MHz (0.8 ns)-8GB,RAM-8GB-DDR3
W644GU44J2320NH - DIMM DDR4 Synchronous 2933 MHz (0.3 ns)-32GB,RAM-32GB-DDR4
M471A1K43BB0-CPB - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4-SODIMM
ATA Valuetech Pro 512GB-SSD-sata-500GB,SSD-512GB-2-5
INNO135977 - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-8GB,RAM-8GB-DDR4
W644GU44J2320NH - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-32GB,RAM-32GB-DDR4
PBM_5080_Intel_MM ,PC-PBM_5080_Intel_MM 
MAG Z790 TOMAHAWK MAX WIFI (MS-7E25),MAB-Z790-TOMAHAWK
Intel(R) Core(TM) i7-14700KF,CPU-i7-14700KF
6000 Series - DIMM Synchronous 4400 MHz (0.2 ns)-16GB,RAM-16GB-DDR5
KINGSTON SNV3S2000G-SSD-nvme-2000GB,SSD-M2-2TB
LIQUID_240,KUE-WA-240-S
MSI_1000W,NET-1000W-MSI
MSI_GAMING_BLACK,GEH-MSI-Midi-MAG-Velox
MK2BasicIntel,PC-MK2-Basic-Intel
B760 GAMING PLUS WIFI (MS-7D98),MAB-B760-Gaming-Plus-WIFI
GREED_SNOW_W,PC-GREED_SNOW
B650 GAMING PLUS WIFI (MS-7E26),MAB-B650-Gaming-Plus-WIFI
CT16G56C46U5.M8G1 - DIMM Synchronous Unbuffered (Unregistered) 5600 MHz (0.2 ns)-16GB,RAM-16GB-DDR5
NVIDIA GeForce RTX 4060 Ti + AMD Integrated,GRA-RTX4060TI
GREED_STORM_W,PC-GREED_STORM
MS-15K1,Nicht im WAWI
12th Gen Intel(R) Core(TM) i5-12450H,Nicht im WAWI
M425R1GB4BB0-CWMOD - SODIMM Synchronous 5600 MHz (0.2 ns)-8GB,RAM-8GB-DDR5-SODIMM
NVIDIA GeForce RTX 4060 Mobile,Nicht im WAWI
MSI_Cyborg_15-16-1T_W,PC-MSI_Cyborg_15-16-1T_W
"ATA SSD_2.5""_512GB_InnovationIT_QLC-SSD-ata-512GB",SSD-512GB-2-5
TSSTcorp TSSTcorp DVD-ROM SH-116BB-HDD-ata-1GB,DVD-Brenner
ATA MicroFrom 512GB SATA3 SSD-SSD-ata-512GB,SSD-512GB-2-5
Intel(R) Core(TM) i7-3770S CPU @ 3.10GHz,CPU-i7-3770
ATA Micron_1100_MTFDDAK512TBN-SSD-sata-512GB,SSD-512GB-2-5
ATA MKNSSDEL1TB-SSD-sata-1000GB,SSD-1TB-2-5
HB-Basic-i7,PC-HB-Basic
TEAMGROUP-UD4-3200 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
FIKWOT FN501 Pro 1TB-SSD-nvme-1024GB,SSD-M2-1TB
Intel(R) Core(TM) i7-4785T CPU @ 2.20GHz,Nicht im WAWI
ATA SE801 1TB-SSD-sata-1024GB,SSD-1TB-2-5
M83Tiny-16-1T-i7_W,PC-M83-Tiny-i7
HB-Basic-4,PC-HB-Basic
HB-Ultra-4,PC-HB-Ultra
HB-Multi-4,PC-HB-Multi
16_24_PIN_ADAPTER,ADAP-Stromkabeladapter-16-auf-24
M471B1G73DB0-YK0 - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
16KTF1G64HZ-1G6N1 - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
ATA TEAM T253512GB-SSD-ata-512GB,SSD-512GB-2-5
Optiarc Optiarc DVD RW AD-7250H-HDD-ata-1GB,DVD-Brenner
Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz,CPU-i5-4570
ATA TEAM T253512GB-SSD-sata-512GB,SSD-512GB-2-5
M471B1G73QH0-YK0 - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-4GB-DDR4-SODIMM
M471B1G73QHO-YK0 - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-4GB-DDR4-SODIMM
M4U16S682QMMM52-12 - DIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
MK2Intel_4060-13,PC-MK2-Intel
M93AMZ_16_512_W,PC-M73
INNO124308 - DIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
STICKER_PBM_GREED,STI-Schwarz
CT8G4DFRA32A.C8FT - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-8GB,RAM-8GB-DDR4
Intel(R) Core(TM) i5-4570T CPU @ 2.90GHz,CPU-i5-4570
CT102464BD160B.C16 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
CT102464BD160B.M16 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
Intel(R) Core(TM) i5-6400 CPU @ 2.70GHz,CPU-i5-6500
Intel(R) Core(TM) i7-4790K CPU @ 4.00GHz,CPU-i7-4790
RMR5030ME68F9F1600 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
HP24D4S7S8MBP-8 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
8JTF51264AZ-1G6E1 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
8ATF1G64HZ-2G3H1R - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
HMA81GS6MFR8N-UH - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
8KTF51264AZ-1G6E1 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
8KTF51264AZ-1G6P1 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
KMKYF9-MID - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
HP698650-154-KEB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
RMR5030EF68F9W1600 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
HMT351U6EFR8C-PB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
RMR5030KE68F9F1600 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
RMR5040ED58E9W1600 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
M471A1K43BB1-CRC - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
KMKYF9-MIH - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
M378B5173EB0-YK0 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
ACR24D4S7S8MB-8 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
TEAMGROUP-SD4-3200 - SODIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4-SODIMM
K531R8-HYA - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
NT4GC64B88B1NF-DI - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
HMA81GS6CJR8N-UH - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
CT16G4DFRA32A.C16FR - DIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
8ATF1G64HZ-2G3H1 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
MSI_VELOX_100,GEH-Velox-100R
PRO H610M-E DDR4 (MS-7D48),MAB-H610M
MSI_MAG_A750L,NET-750W-MSI
KF556C36-16 - DIMM Synchronous Unbuffered (Unregistered) 4800 MHz (0.2 ns)-16GB,RAM-16GB-DDR5
NVIDIA GeForce RTX 5070 Ti,GRA-RTX-5070TI
13th Gen Intel(R) Core(TM) i7-13700F,CPU-i7-13700F
CT16G4DFRA32A.C8FF - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
H610M-HVS/M.2 R2.0,MAB-H610M
AMD Ryzen 5 7520U with Radeon Graphics,Nicht im WAWI
MT62F1G32D4DR-031 WT - Row of chips Synchronous Unbuffered (Unregistered) 5500 MHz (0.2 ns)-4GB,Nicht im WAWI
SKHynix_HFS512GEJ4X112N-SSD-nvme-512GB,SSD-512GB-M2
SOLIDIGM SSDPFKNU512GZH-SSD-nvme-512GB,SSD-512GB-M2
KINGSTON SNV3S4000G-SSD-nvme-4000GB,SSD-M2-4TB
ATA WD Blue SA510 2.5 1000GB-SSD-ata-1000GB,SSD-1TB-2-5
99U5428-018.A00LF - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
HMA41GU6AFR8N-TF - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
HMA81GU6AFR8N-UH - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
CASE_MSI_PZ_WHITE,GEH-MSI-Midi-MAG-Pano-White
INNO125155 - DIMM DDR4 Synchronous 2667 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
M4U16S682QMMM52-12 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
9905743-220.A00G - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
RMUA5110MH78HAF-2666 - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
1600DDBD3 - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
99U5471-020.A00LF - DIMM DDR3 Synchronous 1333 MHz (0.8 ns)-4GB,RAM-4GB-DDR3
99U5471-012.A00LF - DIMM DDR3 Synchronous 1333 MHz (0.8 ns)-4GB,RAM-4GB-DDR3
ATA CTSSD512S6-SSD-sata-512GB,SSD-512GB-2-5
S939A2SGS-ITR - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
M471B1G73EB0-YK0 - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
PLDS PLDS DVD-RW DH16AESH-HDD-ata-1GB,DVD-Brenner
F641GU67G1600G - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
PSU_GAMING_MSI_1000W,NET-1000W
H510M-A PRO (MS-7D22),MAB-H510M
MD16GSD42666-SI - DIMM DDR4 Synchronous 2667 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
M4U16S682QMMM52-12 - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
HL-DT-ST HL-DT-ST DVD-RAM GSA-H60L-HDD-ata-1GB,DVD-Brenner
CT16G4SFRA32A.C16FT - SODIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4-SODIMM
CT16G4DFRA32A.C16FT - DIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
CT16G4DFRA32A.C8FF - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
HP26D4U9S8ME-8 - DIMM DDR4 Synchronous 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
INTEL SSDPEKNW512G8-SSD-nvme-512GB,SSD-512GB-M2
M378A1K43CB2-CRC - DIMM DDR4 Synchronous 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
1600DDBD3 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
hp hp CDDVDW SH-216BB-HDD-ata-1GB,DVD-Brenner
INNO125361 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
9905584-027.A00LF - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
Optiarc Optiarc DVD RW AD-5280S-HDD-ata-1GB,DVD-Brenner
"ATA SSD_2.5""_256GB_InnovationIT_QLC-SSD-sata-256GB",SSD-240GB-2-5
W642GU44J2320NN - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
hp hp DVD-RAM GH40L-HDD-ata-1GB,DVD-Brenner
M471A1G43DB0-CPB - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4-SODIMM
KF1600NDBD3 - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
HL-DT-ST HL-DT-ST DVDRAM GHA2N-HDD-ata-1GB,DVD-Brenner
MT62F2G32D8DR-031 WT - Row of chips Synchronous Unbuffered (Unregistered) 5500 MHz (0.2 ns)-8GB,Nicht im WAWI
WD PC SN740 SDDPMQD-512G-1101-SSD-nvme-512GB,SSD-512GB-M2
Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz,CPU-i7-2600
HMT41GU6DFR8A-PB - DIMM DDR3 Synchronous 1333 MHz (0.8 ns)-8GB,RAM-8GB-DDR3
KF556C36-16 - DIMM Synchronous 4800 MHz (0.2 ns)-16GB,RAM-16GB-DDR5
hp hp DVD A DH16ACSHR-HDD-ata-1GB,DVD-Brenner
ATA AGI1K0GIMAI238-SSD-ata-1024GB,SSD-1TB-2-5
hp hp CDDVDW SH-216ALN-HDD-ata-1GB,DVD-Brenner
8ATF1G64AZ-2G3B1 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
8ATF1G64AZ-2G6E1 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
9905702-427.A00G - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
B650M PROJECT ZERO (MS-7E09),MAB-B650-PZ
COOLER_LIQUID_240_BLACK,KUE-WA-240-S
M378A2G43CB3-CWE - DIMM DDR4 Synchronous 2667 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
MK5_Power_Intel_W,PC-MKV-Power-Intel
MK5_Power_AMD,PC-MKV-Power-AMD
MK2PowerIntel-13,PC-MK2-Power-Intel
MK5_AMD_5070TI_LEXI_W,Nicht im WAWI
8ATF1G64AZ-2G3H1 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
BasicV2Intel-GT730,PC-Basic-V2-Intel
M83Tiny-16-512,PC-M83-Tiny-i5
AGI320016SD138 - SODIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4-SODIMM
W641GU48J7240ND - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
M378A1K43BB2-CRC - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
MK5_Power_AMD_W,PC-MKV-Power-AMD
V15G4-8-512-R5_W,Nicht im WAWI
UltraV2Intel-GT730-13,PC-Ultra-V2-Intel
HMT41GS6AFR8A-PB - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
Samsung SSD 970 EVO Plus 500GB-SSD-nvme-500GB,SSD-512GB-M2
1600NDBD3 - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
16KTF1G64HZ-1G6E2 - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
CT102464BF160B.M16 - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
CT102464BF160B.C16 - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
TSSTcorp TSSTcorp DVD+/-RW TS-H653G-HDD-ata-1GB,DVD-Brenner
KT8GS3EDF - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
M378A1K43BB2-CRC - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
M378A1G43DB0-CPB - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
M83Tiny-16-512-i7_W,PC-M83-Tiny-i5
ATA Verbatim Vi560 S3-SSD-sata-1024GB,SSD-1TB-2-5
"ATA SSD_2.5""_TLC_1TB_InnovationIT-SSD-ata-1024GB",SSD-1TB-2-5
"ATA SSD_2.5""_TLC_512GB_InnovationIT-SSD-ata-512GB",SSD-512GB-2-5
hp hp CDDVDW TS-H653T-HDD-ata-1GB,DVD-Brenner
MK5_Intel_W,PC-MKV-Intel
MSI_MAG_240,KUE-WA-240-S
NVIDIA GeForce RTX 5070,GRA-RTX-5070
ATA TOSHIBA DT01ACA100-HDD-sata-1000GB,HDD-1TB-3-5
BIOSUPDATE,Nicht im WAWI
Intel(R) Core(TM) i3-4130 CPU @ 3.40GHz,CPU-i3-4130
HMA81GU6JJR8N-VK - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
16ATF2G64AZ-3G2E1 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
MK5_PRO_AMD-5090,Nicht im WAWI
MK5_PRO_AMD-5090_W,Nicht im WAWI
NVIDIA GeForce RTX 5090,GRA-RTX5090
H310CM-DVS,MAB-H310
Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,CPU-i7-8700
Intel Corporation CoffeeLake-S GT2 [UHD Graphics 630],Nicht im WAWI
HP26D4U9S8ME-8 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
Ultra7-8,PC-Ultra-7
Patriot M.2 P300 512GB-SSD-nvme-512GB,SSD-512GB-M2
M378A1K43CB2-CRC - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
Intel integrated,Nicht im WAWI
9905702-010.A00G - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
CT8G4DFRA32A.M8FR - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
K531R8-ETB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
99U5702-095.A00G - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
9905702-136.A00G - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
9905702-022.A00G - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
99U5702-101.A00G - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
99U5702-089.A00G - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
9905702-120.A00G - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
M378A5244CB0-CRC - DIMM DDR4 Synchronous 2400 MHz (0.4 ns)-4GB,RAM-4GB-DDR4
HMA82GU6CJR8N-VK - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
M391A2K43BB1-CTD - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
KY7N41-MID - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
M378A2K43DB1-CTD - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
M378A2K43DB1-CTD - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
9905702-082.A00G - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
MK5_Pro_AMD_W,PC-MKV-Pro-AMD
MK5_Pro_AMD,PC-MKV-Pro-AMD
M378A5143EB2-CRC - DIMM DDR4 Synchronous 2400 MHz (0.4 ns)-4GB,RAM-4GB-DDR4
ATAPI ATAPI iHAS124 W-HDD-ata-1GB,DVD-Brenner
ATA MicroFrom 256GB SATA3 SSD-SSD-ata-256GB,SSD-240GB-2-5
HL-DT-ST HL-DT-ST DVDRAM GH24NSC0-HDD-ata-1GB,DVD-Brenner
Intel(R) Co2e(TM) i7-4790 CPU @ 3.60GHz,CPU-i7-4790
ATA HS-SSD-WAVE(S)-B 512G-SSD-sata-512GB,SSD-512GB-2-5
MAG Z790 TOMAHAWK WIFI (MS-7D91),MAB-Z790-TOMAHAWK
MK5_Pro_Intel_W,PC-MKV-Pro-Intel
Intel(R) Core(TM) i5-4590S CPU @ 3.00GHz,CPU-i5-4590
ATA CT500BX500SSD1-SSD-ata-500GB,SSD-512GB-2-5
TSSTcorp TSSTcorpDVD-ROM SH-116AB-HDD-ata-1GB,DVD-Brenner
hp hp DVDROM DH51N-HDD-ata-1GB,DVD-Brenner
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,CPU-i3-6100
ATA VTP256GSSD1-SSD-sata-256GB,SSD-240GB-2-5
LIQUID_360,KUE-WA-360-S
KHX1600C9S3L/8G - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
9905428-417.A00LF - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
LENOVO_MT_10E9,Nicht im WAWI
M471B1G73QHO-YK0 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
zu wenig RAM,Nicht im WAWI
 - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-16GB,RAM-16GB-DDR4
ATA INNOVATION¡¤IT-SSD-sata-1024GB,SSD-1TB-2-5
MK2ProIntel-ALT,Nicht im WAWI
MK2PowerIntel,PC-MK2-Power-Intel
CPU Falsch,Nicht im WAWI
HMT41GS6MFR8C-PB - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
AGI320016UD138 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
ATA Verbatim Vi560-SSD-sata-1024GB,SSD-1TB-2-5
