component,jtl_article_number
UltraV2Intel-GT730,PC-Ultra-V2-Intel
829A,Nicht im WAWI
Intel(R) Core(TM) i5-7600T CPU @ 2.80GHz,JTL_ARTNR_CPU_7600T
HKED4082CAA1D0HA1 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-16GB-DDR4-SODIMM
Intel HD 630,Nicht im WAWI
SUNEAST NVMe SSD 512GB-SSD-nvme-512GB,SSD-512GB-M2
800G3_16_512,PC-HP-800-G3
hp hp CDDVDW TS-H653T-HDD-sata-1GB,DVD-Brenner
Optiarc Optiarc DVD RW AD-7260S-HDD-sata-1GB,DVD-Brenner
11th Gen Intel(R) Core(TM) i7-11700F @ 2.50GHz,CPU-i7-11700F
MultiV2Intel-GT730,PC-Multi-V2-Intel
TSSTcorp TSSTcorp CDDVDW SH-224DB-HDD-sata-1GB,DVD-Brenner
"ATA SSD_2.5""_TLC_512GB_InnovationIT-SSD-sata-512GB",SSD-512GB-2-5
HL-DT-ST HL-DT-ST DVD-ROM DH50N-HDD-sata-1GB,DVD-Brenner
HB-Multi,PC-HB-Multi
B450M-HDV R4.0,MAB-B450-AMD
AMD Ryzen 7 5700G with Radeon Graphics,CPU-R7-5700G
9905743-150.A00G - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
KINGSTON SNV2S1000G-SSD-nvme-1000GB,SSD-M2-1TB
UltraV2AMD,PC-Ultra-V2-AMD
CT16G4DFRA32A.M8FF - DIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
UltraV2Intel-GT730-10F,PC-Ultra-V2-Intel
TSSTcorp TSSTcorp DVD-RW SH-216FB-HDD-sata-1GB,DVD-Brenner
Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,CPU-i5-6500
INNO124205 - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
PLDS PLDS DVD-RW DH16AFSH-HDD-sata-1GB,DVD-Brenner
Basic7,PC-Basic-7
CT8G4DFRA32A.C8FT - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-8GB,RAM-8GB-DDR4
DT8G2666V.HTL0824 - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
HL-DT-ST HL-DT-ST DVDRAM GH24NSD5-HDD-sata-1GB,DVD-Brenner
TSSTcorp TSSTcorp CDDVDW SH-224FB-HDD-sata-1GB,DVD-Brenner
9905743-220.A00G - DIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
TSSTcorp TSSTcorp CDDVDW SH-216BB-HDD-sata-1GB,DVD-Brenner
hp hp CDDVDW SH-216DB-HDD-sata-1GB,DVD-Brenner
TEAMGROUP-UD4-3200 - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-32GB,RAM-32GB-DDR4
AMD Ryzen 7 5700X 8-Core Processor,CPU-R7-5700X
M378A2G43CB3-CWE - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
MK2AMD_4060,PC-MK2-AMD
ATA EMTEC X150 240GB-SSD-sata-240GB,SSD-240GB-2-5
HB-Basic,PC-HB-Basic
11th Gen Intel(R) Core(TM) i9-11900KF @ 3.50GHz,CPU-i9-11900KF
F4-3200C16-16GIS - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-16GB,RAM-16GB-DDR4
NVIDIA GeForce GT 710,GRA-GT710
